sitetype,zcta5ce10,month,year,trip,cost,income,temp_avg,mdays
ADA STANDARD,97527,4,2021,1,179.93378,55348,52.099998,2
ADA STANDARD,97601,7,2019,1,184.77417,43076,68.400002,3
ADA STANDARD,97603,10,2022,1,248.98453,62328,61.5,2
ADA STANDARD,97701,4,2018,1,175.90302,65211,59.700001,2
ADA STANDARD,97701,4,2023,1,225.30826,71927,55.700001,2
ADA STANDARD,97702,8,2019,1,222.75668,69895,69.300003,1
ADA STANDARD,97702,10,2020,1,188.30978,69140,61.799999,2
ADA STANDARD,97739,3,2022,1,148.2516,56318,53.599998,2
ADA STANDARD,97741,7,2023,1,216.93678,63474,63.299999,10
ADA STANDARD,97753,6,2022,1,301.05325,141375,62.900002,2
ADA STANDARD,97756,5,2019,1,139.39716,65788,62.5,3
ADA STANDARD,97760,5,2022,1,176.35545,78221,56.900002,1
ADA STANDARD,97801,5,2023,1,369.49182,71413,83.5,6
ADA STANDARD,97810,6,2020,1,262.75891,50250,65.5,2
ADA STANDARD,97823,10,2019,1,156.13309,42054,63.700001,4
ADA STANDARD,97823,10,2020,1,146.83487,33994,63.299999,5
ADA STANDARD,97823,10,2021,1,180.1488,44732,60.400002,3
ADA STANDARD,97823,10,2022,1,178.08377,51094,60.799999,3
ADA STANDARD,97824,5,2019,1,254.87473,54107,58.799999,3
ADA STANDARD,97882,5,2022,1,295.21942,56893,50.700001,4
ADA STANDARD,98221,7,2023,1,459.77048,90007,69.699997,1
ADA STANDARD,98226,9,2020,1,371.15225,67142,86.5,4
ADA STANDARD,98250,3,2020,1,352.78012,71567,54.400002,3
ADA STANDARD,98271,2,2020,1,275.12274,83047,47.900002,1
ADA STANDARD,98362,10,2019,1,396.79425,50333,56.900002,3
ADA STANDARD,98528,9,2020,1,211.88573,60415,57.5,10
ADA STANDARD,98597,2,2023,1,238.73401,88965,53.299999,2
ADA STANDARD,98597,10,2022,1,230.78824,88965,71.400002,1
ADA STANDARD,98604,5,2019,1,171.41985,85117,59.799999,2
ADA STANDARD,98620,4,2019,1,199.21132,42417,60.400002,3
ADA STANDARD,98620,8,2018,1,158.32152,47601,70.300003,5
ADA STANDARD,98642,9,2021,1,178.44051,101314,63.400002,3
ADA STANDARD,98661,5,2021,1,133.07993,61579,60.799999,4
ADA STANDARD,98663,5,2019,1,108.58562,62020,61.200001,2
ADA STANDARD,98665,6,2019,1,110.30303,64566,60.099998,1
ADA STANDARD,98671,8,2020,1,137.88431,91505,68.599998,1
ADA STANDARD,98672,9,2021,1,198.16324,76513,62.799999,1
ADA STANDARD,98672,9,2022,1,391.02139,86250,65.599998,4
ADA STANDARD,98674,8,2019,1,126.73385,71532,75.599998,3
ADA STANDARD,98682,5,2018,1,121.15963,71519,61.700001,8
ADA STANDARD,98802,6,2023,1,503.2038,88816,60.400002,5
ADA STANDARD,98837,8,2021,1,297.99423,64347,63.799999,2
ADA STANDARD,98841,9,2019,1,318.6619,46746,68.800003,2
ADA STANDARD,99037,9,2021,1,426.24872,69928,65.099998,3
ADA STANDARD,99201,10,2020,1,284.82199,27398,61.799999,3
ADA STANDARD,99205,4,2022,1,423.32996,69055,55.5,2
ADA STANDARD,99205,5,2023,1,392.10803,69055,52.700001,1
ADA STANDARD,99205,8,2022,1,404.21848,69055,71.800003,1
ADA STANDARD,99205,10,2022,1,391.26141,69055,58.5,1
ADA STANDARD,99217,3,2018,1,354.23242,51211,55.299999,6
ADA STANDARD,99336,6,2021,1,279.75854,53803,65,3
ADA STANDARD,99353,4,2019,1,341.04572,102021,57.099998,3
ADA STANDARD,99362,4,2022,1,261.69366,63778,63.299999,2
ADA STANDARD,99362,6,2019,1,303.40036,56665,62,3
ADA STANDARD,99362,11,2021,1,238.01634,61068,57.400002,1
ADA Standard Full,83605,3,2018,1,270.64014,45997,49.200001,4
ADA Standard Full,83617,9,2022,1,478.05676,64554,63.400002,4
ADA Standard Full,83686,5,2022,1,458.14014,79157,55.799999,4
ADA Standard Full,83709,9,2021,1,416.366,76468,68.599998,1
ADA Standard Full,96067,4,2021,1,270.79315,55053,50.900002,8
ADA Standard Full,96137,2,2022,1,428.47015,59280,49.700001,3
ADA Standard Full,97005,6,2021,1,87.540123,61919,65,4
ADA Standard Full,97006,7,2021,1,119.27026,91520,68.699997,5
ADA Standard Full,97008,6,2023,1,126.70875,83309,65.699997,3
ADA Standard Full,97013,3,2019,1,130.91689,74124,59.799999,2
ADA Standard Full,97017,7,2022,1,134.34731,102292,65.599998,2
ADA Standard Full,97030,3,2020,1,106.86932,53700,52,5
ADA Standard Full,97030,4,2022,1,175.82147,61285,54.200001,8
ADA Standard Full,97030,5,2022,1,182.82147,61285,58.400002,7
ADA Standard Full,97030,7,2019,1,115.07783,50680,70.099998,7
ADA Standard Full,97030,10,2021,1,124.39804,54952,57.299999,6
ADA Standard Full,97032,4,2022,1,100.31687,92250,49,1
ADA Standard Full,97032,11,2022,1,111.79627,92250,55.799999,4
ADA Standard Full,97045,3,2023,1,144.80733,94337,47.799999,3
ADA Standard Full,97045,5,2022,1,169.71338,94337,58,2
ADA Standard Full,97045,5,2023,1,167.35849,94337,61.200001,2
ADA Standard Full,97045,8,2020,1,115.13452,83254,69.900002,4
ADA Standard Full,97045,8,2021,1,123.93842,87783,66.599998,1
ADA Standard Full,97045,9,2022,1,133.34396,94337,64.699997,5
ADA Standard Full,97045,10,2020,1,133.39758,83254,63,11
ADA Standard Full,97045,11,2018,1,100.19099,76495,54.099998,3
ADA Standard Full,97051,1,2021,1,137.92403,72934,48.5,1
ADA Standard Full,97051,9,2018,1,149.95207,55194,66.199997,2
ADA Standard Full,97051,11,2021,1,205.97437,72934,54.200001,4
ADA Standard Full,97058,3,2018,1,120.48317,50407,47.099998,4
ADA Standard Full,97060,5,2018,1,165.59506,67239,65.199997,3
ADA Standard Full,97060,9,2020,1,175.85005,77535,65.599998,3
ADA Standard Full,97070,2,2021,1,130.95331,79076,50.5,2
ADA Standard Full,97070,3,2021,2,102.209669,79076,49.900002,4
ADA Standard Full,97070,6,2019,1,94.624138,73569,65.199997,1
ADA Standard Full,97070,6,2021,1,99.699272,79076,65.800003,3
ADA Standard Full,97071,8,2023,1,70.87558,61457,77.599998,2
ADA Standard Full,97080,1,2021,1,128.6888,81881,56.299999,1
ADA Standard Full,97080,2,2022,1,148.45145,91833,52.900002,2
ADA Standard Full,97080,11,2021,1,166.44229,81881,57.400002,2
ADA Standard Full,97089,7,2022,1,140.09508,111174,66.5,4
ADA Standard Full,97089,8,2023,1,246.1572,111174,78,5
ADA Standard Full,97111,4,2022,1,126.05943,90575,53.099998,10
ADA Standard Full,97111,6,2022,1,91.059425,90575,62.900002,10
ADA Standard Full,97112,4,2018,1,36.632915,44231,57.5,5
ADA Standard Full,97113,5,2021,1,113.51112,77388,58.200001,3
ADA Standard Full,97121,7,2022,1,108.49177,57083,65.900002,6
ADA Standard Full,97127,4,2021,1,116.23021,84159,59.099998,2
ADA Standard Full,97128,7,2023,1,69.62709,67176,65.900002,1
ADA Standard Full,97128,8,2019,1,65.216995,56620,70.699997,1
ADA Standard Full,97128,8,2020,1,65.474373,54983,69,1
ADA Standard Full,97136,5,2021,1,119.15779,57549,61.5,3
ADA Standard Full,97138,6,2018,1,87.750412,47017,61.5,2
ADA Standard Full,97146,10,2019,1,108.0955,59286,60.099998,5
ADA Standard Full,97202,7,2023,1,125.19685,94983,71.400002,2
ADA Standard Full,97210,9,2023,1,173.53427,86681,64.800003,1
ADA Standard Full,97214,8,2023,1,129.38402,89389,69,1
ADA Standard Full,97218,7,2018,1,104.45668,63791,68.699997,6
ADA Standard Full,97219,7,2021,1,150.04367,106242,65.300003,1
ADA Standard Full,97222,2,2022,1,150.86667,75434,45.099998,2
ADA Standard Full,97222,11,2020,1,173.73117,64905,51.799999,4
ADA Standard Full,97224,4,2019,1,91.264717,77540,59.099998,4
ADA Standard Full,97224,9,2019,1,113.45133,77540,64.900002,2
ADA Standard Full,97225,7,2023,1,152.52954,106881,63.299999,1
ADA Standard Full,97230,8,2018,1,109.889,51506,58.799999,3
ADA Standard Full,97236,6,2021,1,101.62918,58093,66.5,1
ADA Standard Full,97239,5,2018,1,168.80432,86455,63.599998,3
ADA Standard Full,97239,6,2023,1,170.64848,103323,66.699997,2
ADA Standard Full,97266,7,2021,1,105.04852,63274,65.400002,10
ADA Standard Full,97266,8,2021,1,105.04852,63274,67.099998,3
ADA Standard Full,97266,8,2022,1,94.88118,67350,68.900002,10
ADA Standard Full,97267,8,2022,1,119.18961,80245,69.800003,5
ADA Standard Full,97301,7,2023,1,76.047699,53113,69.900002,2
ADA Standard Full,97301,9,2020,1,64.040436,45959,71,10
ADA Standard Full,97303,5,2021,1,121.89245,68100,58.599998,6
ADA Standard Full,97303,5,2022,1,143.37068,75863,68.5,7
ADA Standard Full,97303,7,2023,1,141.68237,75863,68.099998,7
ADA Standard Full,97303,9,2021,2,85.36766850000001,68100,62.8000015,4
ADA Standard Full,97303,10,2020,1,122.2932,64369,64.900002,6
ADA Standard Full,97303,10,2021,1,122.36239,68100,64,6
ADA Standard Full,97304,7,2022,1,143.58687,85908,66.699997,3
ADA Standard Full,97304,8,2019,1,65.683189,69945,71.800003,2
ADA Standard Full,97305,4,2018,1,135.78471,49348,50.799999,4
ADA Standard Full,97305,10,2021,1,129.91682,57767,65.099998,5
ADA Standard Full,97317,9,2022,2,113.8546,77910,69,1.5
ADA Standard Full,97321,4,2018,1,114.96383,70404,58.799999,3
ADA Standard Full,97321,4,2023,1,67.460068,93617,52.400002,1
ADA Standard Full,97321,7,2023,1,75.65316,93617,66.699997,2
ADA Standard Full,97321,10,2018,1,58.841434,70404,57.400002,2
ADA Standard Full,97322,3,2021,1,112.96966,61285,50.599998,3
ADA Standard Full,97322,3,2023,1,55.236404,63979,47.400002,3
ADA Standard Full,97322,6,2019,1,59.719719,55349,61.299999,5
ADA Standard Full,97322,6,2021,1,104.24345,61285,69,2
ADA Standard Full,97322,9,2020,1,60.104813,60148,65,7
